adm2_pcode,adm2_name1,Culture_Dominante,Production_Tonnes
CM008001,Bamboutos,Pomme de terre,85000
CM006001,Bénoué,Coton,110000
CM003001,Boumba-et-Ngoko,Banane Plantain,45000
CM007001,Boyo,Café Arabica,8000
CM007002,Bui,Pomme de terre,35000
CM004001,Diamaré,Sorgho,55000
CM009001,Dja-et-Lobo,Cacao,30000
CM001001,Djérem,Igname,15000
CM007003,Donga-Mantung,Haricot,18000
CM010001,Fako,Banane,110000
CM006002,Faro,Coton,25000
CM001002,Faro-et-Déo,Maïs,20000
CM008002,Haut-Nkam,Café Robusta,12000
CM003002,Haut-Nyong,Manioc,80000
CM002001,Haute-Sanaga,Cacao,25000
CM008003,Hauts-Plateaux,Haricot,10000
CM003003,Kadey,Manioc,90000
CM008004,Koung-Khi,Arachide,8000
CM010002,Kupe-Manenguba,Café Robusta,10000
CM010003,Lebialem,Cacao,8000
CM002002,Lekié,Cacao,75000
CM004002,Logone-et-Chari,Sorgho,40000
CM003004,Lom-et-Djérem,Manioc,120000
CM010004,Manyu,Cacao,20000
CM001003,Mayo-Banyo,Maïs,25000
CM004003,Mayo-Danay,Riz,35000
CM004004,Mayo-Kani,Coton,70000
CM006003,Mayo-Louti,Maïs,60000
CM006004,Mayo-Rey,Coton,95000
CM004005,Mayo-Sava,Oignon,45000
CM004006,Mayo-Tsanaga,Arachide,35000
CM002003,Mbam-et-Inoubou,Cacao,40000
CM002004,Mbam-et-Kim,Maïs,55000
CM001004,Mbéré,Manioc,30000
CM002005,Mefou-et-Afamba,Banane Plantain,35000
CM002006,Mefou-et-Akono,Manioc,40000
CM010005,Meme,Cacao,50000
CM007004,Menchum,Riz,15000
CM008005,Menoua,Cultures Maraîchères,60000
CM007005,Mezam,Maïs,45000
CM002007,Mfoundi,Légumes Feuilles,15000
CM008006,Mifi,Maïs,40000
CM007006,Momo,Huile de Palme,12000
CM005001,Moungo,Banane,160000
CM009002,Mvila,Cacao,35000
CM008007,Ndé,Macabo,22000
CM010006,Ndian,Huile de Palme,65000
CM007007,Ngo-Ketunjia,Riz Pluvial,25000
CM005002,Nkam,Macabo,15000
CM008008,Noun,Maïs,70000
CM002008,Nyong-et-Kellé,Cacao,28000
CM002009,Nyong-et-Mfoumou,Cacao,18000
CM002010,Nyong-et-So'o,Cacao,15000
CM009003,Océan,Pêche Maritime,35000
CM005003,Sanaga-Maritime,Palmier à Huile,95000
CM009004,Vallée-du-Ntem,Cacao,20000
CM001005,Vina,Maïs,150000
CM005004,Wouri,Pêche,20000
