year,pcode,zone_name,level,parent_pcode,sector,sub_sector,volume,unit,surface_area,yield,producer_count,average_price,description
2021,CMR,Cameroun,COUNTRY,,Agriculture,Cacao,524167,Tonnes,1048334,0.5,286823,1473,Production de Cacao en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Café,634331,Tonnes,1441661,0.44,262339,1175,Production de Café en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Coton,501804,Tonnes,448039,1.12,283722,353,Production de Coton en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Maïs,357323,Tonnes,131368,2.72,173185,238,Production de Maïs en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Manioc,634757,Tonnes,53430,11.88,271713,150,Production de Manioc en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Banane,450467,Tonnes,28260,15.94,254127,197,Production de Banane en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Pomme de terre,517519,Tonnes,53078,9.75,262949,394,Production de Pomme de terre en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Riz,512102,Tonnes,179684,2.85,268700,457,Production de Riz en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Sorgho,399110,Tonnes,287129,1.39,192306,207,Production de Sorgho en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Oignon,465633,Tonnes,33354,13.96,277551,292,Production de Oignon en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Arachide,563453,Tonnes,481583,1.17,296591,498,Production de Arachide en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Palmier à huile,571314,Tonnes,73717,7.75,251864,89,Production de Palmier à huile en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Hévéa,529041,Tonnes,377886,1.4,282897,606,Production de Hévéa en 2021
2021,CMR,Cameroun,COUNTRY,,Agriculture,Ananas,363808,Tonnes,16811,21.64,151122,151,Production de Ananas en 2021
2021,CMR,Cameroun,COUNTRY,,Elevage,Bovins,489786,Têtes,0,0,47544,399003,Production de Bovins en 2021
2021,CMR,Cameroun,COUNTRY,,Elevage,Volailles,542665,Têtes,0,0,45611,3467,Production de Volailles en 2021
2021,CMR,Cameroun,COUNTRY,,Elevage,Porcins,516963,Têtes,0,0,42076,49188,Production de Porcins en 2021
2021,CMR,Cameroun,COUNTRY,,Elevage,Petits Ruminants,484408,Têtes,0,0,49134,39762,Production de Petits Ruminants en 2021
2021,CMR,Cameroun,COUNTRY,,Peche,Pêche Maritime,537740,Tonnes,0,0,275087,1945,Production de Pêche Maritime en 2021
2021,CMR,Cameroun,COUNTRY,,Peche,Pêche Continentale,474943,Tonnes,0,0,216160,1539,Production de Pêche Continentale en 2021
2021,CMR,Cameroun,COUNTRY,,Peche,Aquaculture,385415,Tonnes,0,0,183773,2458,Production de Aquaculture en 2021
2021,CM001,Adamaoua,REGION,CMR,Agriculture,Coton,58044,Tonnes,49610,1.17,23781,360,Production de Coton en 2021
2021,CM001,Adamaoua,REGION,CMR,Agriculture,Maïs,78694,Tonnes,34666,2.27,34304,247,Production de Maïs en 2021
2021,CM001,Adamaoua,REGION,CMR,Agriculture,Manioc,95408,Tonnes,7453,12.8,54402,154,Production de Manioc en 2021
2021,CM001,Adamaoua,REGION,CMR,Agriculture,Pomme de terre,79556,Tonnes,7830,10.16,41323,399,Production de Pomme de terre en 2021
2021,CM001,Adamaoua,REGION,CMR,Agriculture,Sorgho,75752,Tonnes,55293,1.37,44141,198,Production de Sorgho en 2021
2021,CM001,Adamaoua,REGION,CMR,Agriculture,Arachide,75370,Tonnes,68518,1.1,38273,523,Production de Arachide en 2021
2021,CM001,Adamaoua,REGION,CMR,Elevage,Bovins,71472,Têtes,0,0,8236,391870,Production de Bovins en 2021
2021,CM001,Adamaoua,REGION,CMR,Elevage,Petits Ruminants,98940,Têtes,0,0,9970,38446,Production de Petits Ruminants en 2021
2021,CM00101,Djérem,DEPARTEMENT,CM001,Agriculture,Coton,13725,Tonnes,10807,1.27,7980,364,Production de Coton en 2021
2021,CM00101,Djérem,DEPARTEMENT,CM001,Agriculture,Maïs,15059,Tonnes,5577,2.7,7514,245,Production de Maïs en 2021
2021,CM00101,Djérem,DEPARTEMENT,CM001,Agriculture,Manioc,16858,Tonnes,1481,11.38,9446,143,Production de Manioc en 2021
2021,CM00101,Djérem,DEPARTEMENT,CM001,Agriculture,Pomme de terre,14902,Tonnes,1602,9.3,6158,405,Production de Pomme de terre en 2021
2021,CM00101,Djérem,DEPARTEMENT,CM001,Agriculture,Sorgho,17984,Tonnes,11989,1.5,7972,198,Production de Sorgho en 2021
2021,CM00101,Djérem,DEPARTEMENT,CM001,Agriculture,Arachide,15792,Tonnes,12533,1.26,8861,506,Production de Arachide en 2021
2021,CM00101,Djérem,DEPARTEMENT,CM001,Elevage,Bovins,12782,Têtes,0,0,1279,393397,Production de Bovins en 2021
2021,CM00101,Djérem,DEPARTEMENT,CM001,Elevage,Petits Ruminants,14987,Têtes,0,0,1560,41388,Production de Petits Ruminants en 2021
2021,CM0010101,Tibati,ARRONDISSEMENT,CM00101,Agriculture,Coton,3426,Tonnes,2808,1.22,1974,341,Production de Coton en 2021
2021,CM0010101,Tibati,ARRONDISSEMENT,CM00101,Agriculture,Maïs,3383,Tonnes,1477,2.29,1846,246,Production de Maïs en 2021
2021,CM0010101,Tibati,ARRONDISSEMENT,CM00101,Agriculture,Manioc,2345,Tonnes,208,11.24,1331,154,Production de Manioc en 2021
2021,CM0010101,Tibati,ARRONDISSEMENT,CM00101,Agriculture,Pomme de terre,3426,Tonnes,350,9.77,1690,380,Production de Pomme de terre en 2021
2021,CM0010101,Tibati,ARRONDISSEMENT,CM00101,Agriculture,Sorgho,2437,Tonnes,1613,1.51,1437,190,Production de Sorgho en 2021
2021,CM0010101,Tibati,ARRONDISSEMENT,CM00101,Agriculture,Arachide,2336,Tonnes,1839,1.27,1008,505,Production de Arachide en 2021
2021,CM0010101,Tibati,ARRONDISSEMENT,CM00101,Elevage,Bovins,2496,Têtes,0,0,290,412062,Production de Bovins en 2021
2021,CM0010101,Tibati,ARRONDISSEMENT,CM00101,Elevage,Petits Ruminants,3139,Têtes,0,0,277,40531,Production de Petits Ruminants en 2021
